method,match_rate,subset_wf1,weighted_f1,epithelial_p,epithelial_r,epithelial_f1,stromal_p,stromal_r,stromal_f1,immune_p,immune_r,immune_f1
StarDist+WBA,0.9656519460721261,0.6451181444006102,0.6451181444006102,0.8634505314799673,0.8086446013783715,0.8351493848857645,0.8466286799620133,0.3065153859377686,0.4500820396314527,0.24898949070331447,0.22814814814814816,0.23811364514882102
StarDist (no WBA),0.9656519460721261,0.6451181444006102,0.6451181444006102,0.8634505314799673,0.8086446013783715,0.8351493848857645,0.8466286799620133,0.3065153859377686,0.4500820396314527,0.24898949070331447,0.22814814814814816,0.23811364514882102
MCseg+WBA,0.651231480158163,0.7192672972999732,0.5745965137793718,0.894414078122917,0.5708329788139198,0.6968941518645476,0.7819035424669227,0.31493897197868315,0.44901960784313727,0.38353953738569124,0.26407407407407407,0.31278789208159685
MCseg (no WBA),0.651231480158163,0.7192672972999732,0.5745965137793718,0.894414078122917,0.5708329788139198,0.6968941518645476,0.7819035424669227,0.31493897197868315,0.44901960784313727,0.38353953738569124,0.26407407407407407,0.31278789208159685
SR+WBA,0.9067219284455242,0.7420064623111895,0.7157153245882653,0.8946607642966844,0.8425933804135114,0.8678468144772588,0.7763274992583803,0.44988825855251846,0.5696560731388768,0.398876404494382,0.34185185185185185,0.36816912644595134
SR (no WBA),0.9067219284455242,0.7420064623111895,0.7157153245882653,0.8946607642966844,0.8425933804135114,0.8678468144772588,0.7763274992583803,0.44988825855251846,0.5696560731388768,0.398876404494382,0.34185185185185185,0.36816912644595134
NUC+WBA,0.621980848935258,0.6180645157028689,0.48160298753914976,0.8443267776096823,0.4748574831957798,0.6078527473724337,0.7790697674418605,0.20732336255801959,0.3274949083503055,0.32451403887688984,0.2225925925925926,0.2640597539543058
NUC (no WBA),0.621980848935258,0.6180645157028689,0.48160298753914976,0.8443267776096823,0.4748574831957798,0.6078527473724337,0.7790697674418605,0.20732336255801959,0.3274949083503055,0.32451403887688984,0.2225925925925926,0.2640597539543058
ProSeg+WBA,0.9624124624839216,0.7478173592706585,0.7463019643372043,0.8967296257432669,0.8725431804645623,0.8844710854284359,0.798984771573604,0.54117242564896,0.6452803115711797,0.3825586178527355,0.34444444444444444,0.3625024361722861
ProSeg (no WBA),0.9624124624839216,0.7478173592706585,0.7463019643372043,0.8967296257432669,0.8725431804645623,0.8844710854284359,0.798984771573604,0.54117242564896,0.6452803115711797,0.3825586178527355,0.34444444444444444,0.3625024361722861
